date,temperature_rolling_mean,temperature_rolling_std,temperature_rolling_min,temperature_rolling_max,humidity_rolling_mean,humidity_rolling_std,humidity_rolling_min,humidity_rolling_max,pressure_rolling_mean,pressure_rolling_std,pressure_rolling_min,pressure_rolling_max,wind_speed_rolling_mean,wind_speed_rolling_std,wind_speed_rolling_min,wind_speed_rolling_max,precipitation_rolling_mean,precipitation_rolling_std,precipitation_rolling_min,precipitation_rolling_max,cloud_cover_rolling_mean,cloud_cover_rolling_std,cloud_cover_rolling_min,cloud_cover_rolling_max
2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07,21.685714285714287,3.2359586788815107,15.3,26.1,68.44285714285714,3.863874196907012,62.5,73.8,1024.1857142857143,2.038323307221291,1021.4,1026.7,9.071428571428571,3.075556473070787,3.6,13.3,1.1857142857142857,1.0807845474909594,0.2,3.2,56.614285714285714,36.08662857492733,7.3,99.4
2023-01-08,20.714285714285715,2.6592157812837556,15.3,23.1,66.5142857142857,4.105861083633399,60.3,70.8,1023.1857142857143,2.6308608042668733,1019.0,1026.7,8.657142857142857,3.109049770619711,3.6,13.3,1.1142857142857143,1.1480832888319723,0.0,3.2,61.771428571428565,34.26624744972396,7.3,99.4
2023-01-09,20.37142857142857,2.4465719457465966,15.3,22.4,66.27142857142857,3.8599284473999766,60.3,70.8,1021.6000000000001,3.394112549695187,1015.6,1025.2,7.9,3.309582048134377,3.6,13.3,1.1857142857142857,1.1978154719162317,0.0,3.2,58.142857142857146,31.72022788604863,7.3,99.4
2023-01-10,20.67142857142857,2.7596583639491112,15.3,23.9,67.77142857142857,4.979864216928768,60.3,75.1,1021.7,3.51899606895657,1015.6,1025.7,7.5857142857142845,2.772140311160658,3.6,11.1,1.3,1.1704699910719625,0.0,3.2,56.199999999999996,33.86113800017162,7.3,99.4
2023-01-11,20.02857142857143,2.8134879217288793,15.3,23.9,67.75714285714285,4.969861548325444,60.3,75.1,1022.342857142857,3.8504792527930025,1015.6,1025.9,8.0,3.4491544857641077,3.6,13.6,1.0857142857142859,1.2005950905399254,0.0,3.2,58.01428571428571,31.02592617857032,19.4,99.4
2023-01-12,20.02857142857143,2.8134879217288793,15.3,23.9,68.41428571428571,5.314893718419515,60.3,75.1,1022.9285714285714,4.596996949355084,1015.6,1029.3,8.0,3.4491544857641077,3.6,13.6,1.6285714285714286,1.6234883078464981,0.0,4.2,50.528571428571425,25.139392347848176,19.4,87.0
2023-01-13,20.0,2.795830228512931,15.3,23.9,68.77142857142857,4.920607782823269,60.3,75.1,1023.0428571428572,4.585795875256865,1015.6,1029.3,7.8428571428571425,3.452949050139191,3.6,13.6,1.2714285714285716,1.4896468101693163,0.0,4.2,51.128571428571426,26.18337349577108,19.4,91.2
2023-01-14,21.228571428571428,2.215637068440502,17.9,23.9,68.9,4.927135746726149,60.3,75.1,1022.8714285714286,4.61869905410386,1015.6,1029.3,9.157142857142857,3.3170554928817717,4.9,13.6,1.6714285714285713,1.5293945269444438,0.0,4.2,44.61428571428571,32.426143185780845,1.0,91.2
2023-01-15,22.071428571428573,2.4675995661872747,17.9,25.2,70.4,3.150661306244557,65.0,75.1,1022.3857142857144,5.231771074065374,1015.6,1029.3,9.357142857142858,3.220174499856149,4.9,13.6,1.7714285714285716,1.4209319544044392,0.3,4.2,46.285714285714285,34.01109762863824,1.0,91.2
2023-01-16,22.27142857142857,2.3935429010250946,17.9,25.2,69.95714285714286,3.5701807343873306,65.0,75.1,1023.3571428571429,4.312330051861727,1015.6,1029.3,10.200000000000001,2.5645012510557774,7.2,13.6,1.5571428571428572,1.4751916743903064,0.3,4.2,37.528571428571425,35.61267163457946,1.0,91.2
2023-01-17,22.08571428571429,2.294506897954746,17.9,25.2,69.37142857142858,2.849394254757949,65.0,72.7,1023.1714285714287,4.221656185951208,1015.6,1029.3,10.357142857142858,2.6607374559553576,7.2,13.6,1.4428571428571428,1.5197117521174235,0.3,4.2,41.58571428571428,34.8118958868674,1.0,91.2
2023-01-18,22.742857142857144,1.3673053095500727,21.4,25.2,69.28571428571429,2.81154084173819,65.0,72.7,1021.3857142857144,5.364211209931941,1013.4,1029.3,9.542857142857143,2.357864247475626,7.2,12.8,1.4571428571428573,1.5075997953227318,0.4,4.2,47.84285714285714,34.21665564910638,1.0,91.2
2023-01-19,23.042857142857144,1.2765280292746513,21.4,25.2,69.1,2.581988897471608,65.0,71.4,1021.1714285714287,5.013885481245556,1013.4,1027.8,9.642857142857142,2.254519270899482,7.3,12.8,0.9714285714285714,0.9031690238899283,0.4,3.0,50.942857142857136,35.09918598974707,1.0,91.2
2023-01-20,23.542857142857144,1.2094863136295357,22.1,25.2,68.8,3.1885210782848294,62.9,71.4,1020.5857142857143,5.004141142236651,1013.4,1027.8,9.814285714285715,2.0860078071350925,7.9,12.8,0.9571428571428572,0.9089502055616007,0.4,3.0,38.74285714285714,33.583421363467274,1.0,78.3
2023-01-21,24.314285714285713,2.5042820471002467,22.1,29.3,69.52857142857142,3.882316441556629,62.9,74.6,1020.5571428571428,4.9979519615059065,1013.4,1027.8,8.742857142857142,2.2187512575449144,5.3,12.2,0.5285714285714286,0.26276913640612204,0.0,0.8,44.58571428571428,29.193459802464233,5.8,78.3
2023-01-22,23.928571428571427,2.5525897213838173,22.1,29.3,69.5,3.872122587591114,62.9,74.6,1021.9428571428571,4.732109164300348,1013.4,1027.8,9.157142857142857,2.446669261708756,5.3,12.2,0.4714285714285714,0.2627691364061221,0.0,0.8,41.74285714285714,26.176188743643657,5.8,68.7
2023-01-23,25.2,3.522309848191483,22.5,31.0,69.78571428571429,3.6283277008508863,62.9,74.6,1021.9142857142857,4.729492069778045,1013.4,1027.8,9.299999999999999,2.583924663504464,5.3,12.2,0.4142857142857143,0.2734262327610592,0.0,0.8,41.85714285714285,25.99422096946788,5.8,68.7
2023-01-24,25.157142857142855,3.560831898520885,22.3,31.0,69.38571428571429,3.6264898416276505,62.9,74.6,1022.6000000000001,5.443956894269605,1013.4,1029.2,9.014285714285714,2.3053767381410566,5.3,11.8,0.6142857142857142,0.6644009116704849,0.0,2.0,36.957142857142856,27.853596843906118,5.8,68.7
2023-01-25,26.099999999999998,3.6134009833765637,22.3,31.0,69.17142857142856,3.62156240947388,62.9,74.6,1024.2857142857142,3.652592034628183,1018.9,1029.2,9.9,2.91604755333882,5.3,14.1,0.6857142857142857,0.6644009116704849,0.0,2.0,37.32857142857143,28.285197205470933,5.8,68.7
2023-01-26,26.314285714285713,3.4825414912238,22.3,31.0,68.21428571428571,3.8146334779934628,62.9,74.6,1023.3571428571429,3.429702194485222,1018.9,1029.2,10.085714285714285,2.8067944773522733,5.3,14.1,0.7714285714285715,0.7181324987175316,0.0,2.0,34.971428571428575,25.814770596547646,5.8,66.4
2023-01-27,26.185714285714283,3.559226775311639,22.3,31.0,69.92857142857143,3.723669465153196,64.7,74.9,1021.5571428571428,7.291286384641258,1006.3,1029.2,10.571428571428571,2.7807159064494402,5.3,14.1,1.1285714285714286,1.1250396818398387,0.0,3.1,36.457142857142856,24.098261150468726,6.6,66.4
2023-01-28,26.414285714285715,3.833374740977192,22.3,31.0,69.82857142857144,3.5840918355581097,64.7,74.9,1022.3285714285714,7.5528613310263335,1006.3,1029.2,11.457142857142857,1.5262777629002466,9.2,14.1,1.2714285714285716,1.016061490452695,0.2,3.1,38.114285714285714,24.919766489771963,6.6,66.4
